crop,disease,pathogen_or_cause,symptoms,favorable_conditions,prevention,management,organic_management,chemical_management,severity,source,source_url
Potato,Early blight,Alternaria solani (fungus),Dark circular leaf lesions often with concentric rings; older leaves are affected first.,"Warm temperatures, leaf wetness and plant stress.","Use healthy seed, crop rotation, balanced nutrition and remove volunteer hosts.",Scout early and maintain plant vigor and sanitation.,"Rotation, sanitation and balanced nutrition.",Use locally registered fungicides when needed.,High,Cornell/extension disease resources,https://www.vegetables.cornell.edu/pest-management/keys-for-identifying-vegetable-diseases/potato-diagnostic-key/
Potato,Late blight,Phytophthora infestans (oomycete),Water-soaked irregular leaf lesions that rapidly turn brown; white sporulation may occur under humid conditions.,"Cool to mild temperatures, high humidity and leaf wetness.","Use certified seed, resistant/tolerant varieties where available, destroy volunteers and scout frequently.",Rapid sanitation and timely integrated management are critical.,"Resistant varieties, sanitation and careful irrigation.",Use locally registered late-blight products according to local forecasting/label guidance.,Very high,Cornell vegetable disease resources,https://www.vegetables.cornell.edu/pest-management/keys-for-identifying-vegetable-diseases/potato-diagnostic-key/
Squash,Powdery mildew,Podosphaera xanthii and related fungi,White powdery colonies on leaf surfaces followed by yellowing and premature senescence.,Warm conditions with humid air; disease can develop without free water on leaves.,"Use resistant varieties, good spacing and airflow; avoid excessive nitrogen.",Monitor early and manage infected foliage/canopy density.,Resistant varieties and canopy airflow.,Use locally registered fungicides according to label.,High,University extension guidance,https://extension.umn.edu/plant-diseases/powdery-mildew
Strawberry,Leaf scorch,Diplocarpon earlianum (fungus),Small dark purple to reddish leaf spots that can enlarge and give leaves a scorched appearance.,"Warm, wet weather and prolonged leaf wetness.","Use resistant/tolerant cultivars, remove infected debris and improve airflow.",Sanitation and canopy management.,Remove diseased leaves and reduce leaf wetness.,Use locally registered strawberry fungicides when recommended.,Medium,UC IPM,https://ipm.ucanr.edu/home-and-landscape/strawberry/pests-and-diseases/
Tomato,Bacterial spot,Xanthomonas spp.,"Small dark leaf spots, defoliation and raised dark lesions on fruit.","Warm, wet conditions; splash and contaminated seed/transplants spread bacteria.","Use clean seed/transplants, resistant varieties where available, avoid overhead irrigation and rotate crops.","Sanitation, crop rotation and careful irrigation.",Clean seed and sanitation.,Use only locally registered products according to the tomato label.,High,University of Minnesota Extension,https://extension.umn.edu/agriculture/specialty-crops/vegetable-farming/disease-management/bacterial-spot-of-tomato-and-pepper
Tomato,Early blight,Alternaria solani,"Brown leaf lesions with concentric rings, often beginning on older foliage; can cause defoliation.","Warm, humid conditions and leaf wetness.","Crop rotation, sanitation, mulch and good airflow.","Scout early, maintain plant vigor and reduce soil splash.","Mulching, sanitation and crop rotation.",Use locally registered fungicides when needed.,High,Cornell vegetable disease resources,https://www.vegetables.cornell.edu/pest-management/keys-for-identifying-vegetable-diseases/tomato-diagnostic-key/
Tomato,Late blight,Phytophthora infestans,Rapidly expanding water-soaked green-gray to brown lesions; white sporulation may appear under humid conditions.,"Cool to mild temperatures, high humidity and prolonged leaf wetness.","Use resistant varieties where available, healthy transplants and rapid removal of infected material.",Frequent scouting and integrated management are important.,Sanitation and resistant varieties.,Use locally registered late-blight products according to label and local forecasts.,Very high,Cornell vegetable disease resources,https://www.vegetables.cornell.edu/pest-management/keys-for-identifying-vegetable-diseases/tomato-diagnostic-key/
Tomato,Leaf mold,Passalora fulva,Yellow patches on upper leaf surfaces with olive-green to brown velvety growth underneath.,High relative humidity and poor air circulation.,"Improve ventilation/spacing, avoid prolonged leaf wetness and use resistant varieties.",Remove heavily affected leaves and manage greenhouse humidity.,"Airflow, sanitation and resistant varieties.",Use locally registered fungicides when recommended.,Medium,Cornell University,https://www.vegetables.cornell.edu/pest-management/disease-factsheets/tomato-leaf-mold/
Tomato,Septoria leaf spot,Septoria lycopersici,Numerous small circular leaf spots with dark margins and pale centers; lower leaves usually affected first.,"Warm, wet conditions and splash dispersal.","Remove infected debris, mulch soil, rotate crops and avoid overhead irrigation.",Sanitation and reduction of leaf wetness.,"Mulching, rotation and sanitation.",Use locally registered fungicides when necessary.,High,Cornell vegetable disease resources,https://www.vegetables.cornell.edu/pest-management/keys-for-identifying-vegetable-diseases/tomato-diagnostic-key/
Tomato,Spider mites (two-spotted spider mite),Tetranychus urticae (mite),"Fine stippling or bronzing, webbing and leaf drying under severe infestation.","Hot, dry conditions; dusty conditions and broad-spectrum pesticide disruption of natural enemies can contribute.","Reduce plant stress, conserve natural enemies and monitor leaf undersides.",Integrated pest management and early monitoring.,"Water management, biological control and removal of heavily infested tissue where practical.",Use only registered miticides when thresholds justify treatment; follow label.,High,UC IPM / extension guidance,https://ipm.ucanr.edu/
Tomato,Target spot,Corynespora cassiicola (fungus),Brown circular leaf spots that may have concentric rings; fruit can develop sunken lesions.,"Warm, humid weather and prolonged leaf wetness.","Use clean transplants, improve airflow and reduce leaf wetness.",Scout and manage canopy humidity and sanitation.,Sanitation and airflow.,Use locally registered fungicides according to label.,High,UF/IFAS,https://ask.ifas.ufl.edu/publication/PP351
Tomato,Tomato yellow leaf curl virus,Tomato yellow leaf curl virus; transmitted mainly by whiteflies,"Upward leaf curling, yellowing, stunting and reduced fruit set.",High whitefly pressure and infected plants/propagation material.,"Use resistant varieties where available, clean transplants and manage whiteflies.",Rogue infected plants where appropriate and use integrated vector management.,"Resistant varieties, exclusion and biological control of vectors.",Use only locally registered whitefly-management products and follow resistance-management guidance.,Very high,UF/IFAS,https://edis.ifas.ufl.edu/publication/PP368
Tomato,Tomato mosaic virus,Tomato mosaic virus,"Mottled light/dark green leaves, distortion and variable fruit symptoms; plants may be stunted.","Virus carried on contaminated seed, tools, hands and plant debris.","Use certified seed, sanitation and resistant varieties; avoid handling plants when wet.",Remove infected plants and disinfect tools and hands.,Sanitation and resistant varieties.,No curative chemical treatment; manage vectors/handling pathways and infected material.,High,Cornell vegetable disease resources,https://www.vegetables.cornell.edu/pest-management/keys-for-identifying-vegetable-diseases/tomato-diagnostic-key/
