chunk_id,topic,title,content,source,source_url,document_type,chunk_id_char_count,content_char_count
Soil Organic Carbon _8,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,CONTENTS v Foreword vi Acknowledgements vii Abbreviations ix Summary CHAPTER 1 1 Introduction CHAPTER 2 5 Definitions 5 The pathway of carbon from crop residues into soil organic matter and soil organic carbon 8 Conservation Agriculture for carbon storage in cropland CHAPTER 3 13 Evidence that CA promotes soil carbon accumulation 13 Where CA principles and methods are not followed 13 Soil disturbance 15 Monocropping 16 Crop rotations and cover crops that do not allow a positive N balance 17 Crop residues removal and mixing 19 Rhizodeposits and SOC accumulation in deeper soil layers 20 Variables influencing soil carbon accumulation: analyzing global data 23 Subhumid and humid tropical and subtropical zones 24 Tropical and subtropical semi-arid zones 26 Temperate zones 27 Influence of soil and crop management systems on SOC - lessons learnt CHAPTER 4 31 Is the carbon budget for CA systems higher than for TA systems? 31 Mechanical equipment 32 Fertilization 34 GHG dynamics,FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,22,984
Soil Organic Carbon _9,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,learnt CHAPTER 4 31 Is the carbon budget for CA systems higher than for TA systems? 31 Mechanical equipment 32 Fertilization 34 GHG dynamics 34 Methane emissions 35 Nitrous oxide emissions iiiVol. 16–2012 CONTENTS,FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,22,213
Soil Organic Carbon _10,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,iv SOIL ORGANIC CARBON ACCUMULATION AND GREENHOUSE GAS EMISSION REDUCTIONS FROM CONSERVATION AGRICULTURE Integrated Crop Management CHAPTER 5 39 Concluding comments 43 References 65 Annexes 67 Glossary,FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,201
Soil Organic Carbon _11,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"vVol. 16–2012 FOREWORD Soil organic matter plays a crucial role in maintaining soil health and its productivity potential. However, most of the world’s agricultural soils have become depleted in organic matter and therefore soil health over the years, compared with their state under natural vegetation. This is because the dominant form of agriculture is based on tillage, which accelerates the decomposition of soil organic matter. At the same time, there has been a tendency for tillage agriculture to remove much or all of the crop residues, thus leaving the soil starved of substrate for soil organisms to maintain soil structure and exposed to soil erosion. This degradation process decreases soil’s ability to hold water and nutrients, reduces rainfall infiltration and leads to increased soil compaction and loss of soil biodiversity. Such agricultural soils are not able to offer the best factor productivities for production inputs such as nutrient, water and labour,",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,977
Soil Organic Carbon _12,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"factor productivities for production inputs such as nutrient, water and labour, and are not able to harness environmental services such as clean water, carbon sequestration and control of erosion and pests. Thus, tillage-based production systems are considered generally unsustainable and it is important that our farming systems are transformed so the future production intensification can be achieved sustainably. In addition to sustainable production intensification and enhancing factor productivity, there is a need to transform farming practices to sequester carbon so that climate change mitigation becomes an inherent property of future farming systems. Conservation Agriculture, a system avoiding or minimizing soil disturbance, combined with soil cover and crop diversification, is considered to be a sustainable production system that can also sequester carbon unlike tillage agriculture. However, there appears to be certain degree of",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,946
Soil Organic Carbon _13,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"carbon unlike tillage agriculture. However, there appears to be certain degree of uncertainty about the role of Conservation Agriculture in carbon sequestration and its role in reducing green house gas emissions. This publication presents a meta analysis of global scientific literature with the aim to develop a clear understanding of the impacts and benefits of the two most common types of agriculture, traditional tillage agriculture and Conservation Agriculture with respect to their effects on soil carbon pools. The study conducted by the Plant production and Protection Division in collaboration with experts from several universities attempts to reduce the existing uncertainty about the impact of soil management practices on soil carbon pools and on carbon budget. Shivaji Pandey Director Plant Production and Protection Division",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,840
Soil Organic Carbon _14,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"vi SOIL ORGANIC CARBON ACCUMULATION AND GREENHOUSE GAS EMISSION REDUCTIONS FROM CONSERVATION AGRICULTURE Integrated Crop Management ACKNOWLEDGEMENTS This study is the product of cooperative work by the working group on Conservation Agriculture (CA) of the Plant Production and Protection Division (AGP) of the Food and Agriculture Organization (FAO) with universities of Reading (UK), Teramo (Italy) and Ponta Grossa (Brazil). It has benefited from the support and inputs from a number of individuals who reviewed the draft. The internal reviewers from FAO were Christian Nolte, Lawrence Narteh, Gualbert Gbehounou and Cornelis van Duijvendijk. The external reviewers were Richard Harwood (Michigan State University, USA), Tom Goddard (Alberta Agriculture and Rural Development, Canada), and Gottlieb Basch (University of Evora, Portugal). To them all we express our special thanks. Brian Sims edited the final draft and Magda Morales formatted",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,944
Soil Organic Carbon _15,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,special thanks. Brian Sims edited the final draft and Magda Morales formatted the document for printing. We express our appreciation to them both.,FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,146
Soil Organic Carbon _16,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,viiVol. 16–2012 AGP Plant Production and Protection Division of the Food and Agriculture Organization CA Conservation Agriculture CH4 Methane CO2 Carbon dioxide FAO Food and Agriculture Organisation of the United Nations GHG Atmospheric greenhouse gas IIASA International Institute for Applied Systems Analysis MLRA major land resource area MT Minimum tillage N2O Nitrous oxide NT No-till SOC Soil organic carbon SOM Soil organic matter TA Tillage agriculture ABBREVIATIONS,FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,473
Soil Organic Carbon _17,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"ixVol. 16–2012 SUMMARY This study aims at developing a clear understanding of the impacts and benefits of the two most common types of agriculture, traditional tillage agriculture (TA) and Conservation Agriculture (CA), a no-till system, with respect to their effects on soil carbon pools. It is based on a meta analysis of scientific literature, attempting to reduce the existing uncertainty about the impact of soil management practices on soil carbon pools. The results from literature review on carbon sequestration in TA are compared with CA, a broader agro-ecosystem management concept that requires compliance with three interrelated criteria, namely minimum or no mechanical soil disturbance, permanent organic soil cover, and diversified crop associations and rotations. The review shows that CA permits higher rates of carbon sequestration in the soil compared with TA. When no carbon sequestration or carbon loss is reported in agricultural systems, this is most",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,973
Soil Organic Carbon _18,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"sequestration or carbon loss is reported in agricultural systems, this is most frequently associated with any one or a combination of the following reasons: i) soil disturbance, ii) monocropping, iii) specific crop rotations, iv) poor management of crop residues, and v) soil sampling extended deeper than 30 cm. Most of the world’s agricultural soils have become depleted in organic matter and soil health over the years under TA, compared with their state under natural vegetation. This degradation process has proved to be reversible and the main ways to increase soil organic matter content and improve soil health seem to be: i) keeping the disturbance impact and interactions between mechanical implements and soil to an absolute minimum, ii) using effective crop rotations and associations, and iii) leaving crop residues as carbon source on the soil surface. The implementation of these practices can help restore a",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,923
Soil Organic Carbon _19,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"on the soil surface. The implementation of these practices can help restore a degraded agro-ecosystem to a sustainable and productive state. However, soil organic carbon (SOC) sequestration is generally non-linear over time and the effectiveness of conversion of a farming system from TA to CA depends on a number of variables: for example, soil carbon sink strength increases most rapidly soon after a carbon-enhancing change in land management has been implemented, and reduces with time as the stable SOC stock approaches a new equilibrium which in agricultural soils in Europe for example can take approximately 100 years after a carbon-enhancing land use change has been introduced. Even though some authors report significant increase in microbial activity soon after transition to CA, fuller advantages of CA in terms of soil health and its productive capacity can usually be observed only in the medium-",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,911
Soil Organic Carbon _20,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"health and its productive capacity can usually be observed only in the medium- to longer-term, when CA practices and soil biological processes become well established within the farming system.",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,193
Soil Organic Carbon _21,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"x SOIL ORGANIC CARBON ACCUMULATION AND GREENHOUSE GAS EMISSION REDUCTIONS FROM CONSERVATION AGRICULTURE Integrated Crop Management The study discusses the effectiveness of using average rates of soil carbon content for estimating sequestration at the global level. In reality, there are different carbon pools in the soil undergoing transformation from the undecomposed form to decomposing unstable form to decomposed stable form. The carbon sequestration potential of any soil, for the carbon pool considered, depends on the vegetation it supports (which influences the amount and chemical composition of organic matter being added), soil moisture availability, soil mineralogical composition and texture, depth, porosity and temperature. Therefore, when addressing carbon sequestration, rates should always be referred to specific carbon pools, as each carbon category has highly different turnover rates. Another aspect of CA in relation to carbon budgets are the reduced power",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,980
Soil Organic Carbon _22,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"turnover rates. Another aspect of CA in relation to carbon budgets are the reduced power and energy requirements as a result of not tilling the soil. This translates into less fuel consumption, lower working time and slower depreciation rates of equipment per unit area per unit of output, all leading to emission reductions from the various farm operations as well as from the machinery manufacturing processes. In addition, crop residues left in the field return the carbon fixed in the crops by photosynthesis to the soil and the resulting improvement in soil health and fertility leads, over time, to reduced fertilizer use, and CO2 emissions. Other relevant green house gas (GHG) emissions from agriculture, namely methane and nitrous oxides can also be reduced within a CA environment with some complementary practices. This paper concludes that terrestrial sequestration of carbon can efficiently be achieved by changing the management of agricultural lands from high soil",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,979
Soil Organic Carbon _23,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"be achieved by changing the management of agricultural lands from high soil disturbance practices to low disturbance and by adopting effective nitrogen management practices so that the nitrogen balance remains positive. CA allows agro-ecosystems to store more CO2, emit less and all in all improve ecosystem functioning and services, such as the control of rainfall runoff and soil erosion, carbon sequestration including below the plough layer and, when a mulch cover is adopted, increase in water infiltration. The combined environmental benefits of CA at the farm and landscape level can contribute to global environmental conservation and also provide a low-cost option to help offset emissions of the main GHGs. With CA fewer and/or smaller tractors can be used and fewer passes over the field are needed , which also result in lower fuel and repair costs. However, fuller productivity, economic and environmental advantages of CA",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,935
Soil Organic Carbon _24,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"However, fuller productivity, economic and environmental advantages of CA can usually be seen only in the medium- to longer-term when CA practices and new soil conditions are well established. These important lessons learnt from around the world regarding the high potential for carbon sequestration with CA systems and the associated opportunity for carbon trading and reduction in GHGs emissions should be taken into consideration in any climate change mitigation strategy for the future.",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,490
Soil Organic Carbon _25,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"1Vol. 16–2012 CHAPTER 1 Introduction Concerns about rising atmospheric carbon dioxide (CO 2) levels coupled with climate change mitigation efforts have focused considerable interest in recent years on the world’s soil carbon. The world’s soils are estimated to have a high sink potential for carbon sequestration, not only in terms of their large potential carbon content, but also because soil organic carbon is particularly responsive to modification through agricultural land use. Conversion of natural ecosystems to cropland acts as a driver of climate change in two main ways. Firstly, agricultural activities directly produce and release about 10-12 percent of the atmospheric greenhouse gases (GHGs), such as CO 2, methane (CH 4), nitrous oxide (N 2O) (Smith et al., 2007). Secondly, the conversion process alters the soil’s physical, chemical and biological properties and so has an impact on the biological resilience of the agro-ecosystems",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,949
Soil Organic Carbon _26,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"and so has an impact on the biological resilience of the agro-ecosystems (Oades, 1984; Elliot, 1986; Potter et al., 1998). When soils in a natural state are converted to agricultural land, there is an important loss of soil organic carbon (SOC) mainly in form of CO 2 (VandenBygaart et al., 2003). Furthermore, agricultural expansion is a major driver of biodiversity loss, which in turn threatens agricultural sustainability. However, when assessing agricultural sustainability, both environmental impacts and yields should be considered. Global agricultural production will need to increase by 70 percent (and by practically 100 percent in developing countries) to meet the needs of an estimated world population of approximately 9.2 billion in 2050 (FAO, 2006a), but the environmental impact of changing land use to agriculture varies significantly under different management systems. Much of the traditional agriculture practised in industrialised as well",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,959
Soil Organic Carbon _27,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"systems. Much of the traditional agriculture practised in industrialised as well as in developing countries is based on mechanical soil tillage 1* (referred to in this paper as tillage agriculture (TA) 2). In general the major purposes given * See the Glossary of definitions of the terms used in this paper, given at the end of the book. 1 Mechanical soil tillage = Any mouldboard and/or disc ploughing, chiselling, disking; mechanical intervention to structure the soil in a different way 2 Tillage agriculture (TA) = Agricultural systems based on mechanical soil tillage, embracing all soil operations using implements such as a mouldboard plough, disk plough, chisel plough, rotary tiller, subsoiler, ridgers or bed-formers, and other farm tools or mechanical implements for seedbed preparation that aim at creating soil and environmental conditions for seed germination, seedling establishment and crop growth. These types of tillage systems often involve multiple",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,969
Soil Organic Carbon _28,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"seedling establishment and crop growth. These types of tillage systems often involve multiple operations and are often referred to as “conventional” or “traditional” tillage systems. Minimum tillage is often used to refer to any system that has few tillage requirements. It should however also be regarded as a tillage-based form of agriculture, as it is commonly defined as ‘the minimum soil manipulation necessary for crop production under the existing soil and climatic conditions” (Kassam et al., 2009).",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,507
Soil Organic Carbon _29,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"2 SOIL ORGANIC CARBON ACCUMULATION AND GREENHOUSE GAS EMISSION REDUCTIONS FROM CONSERVATION AGRICULTURE Integrated Crop Management for mouldboard and/or disc ploughing in temperate areas are to loosen and prepare the soil for sowing, accelerate soil warming during spring and to control weeds. In humid regions, particularly in the tropics, where many soils are heavily leached and acidic often with high exchangeable Al 3+, tillage can serve the additional purpose of incorporating lime as an amendment. Tillage agriculture is considered to speed up the loss of soil organic matter (SOM) by increasing its mineralization and through soil loss by erosion. As in a vicious circle, the reduction of SOM, which is the substrate for soil life, interrupts the biological soil structuring processes carried out by the soil edaphon 3 , which in turn creates the need for more mechanical tillage leading to further soil",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,911
Soil Organic Carbon _30,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"in turn creates the need for more mechanical tillage leading to further soil degradation. In addition, tillage is a highly energy-consuming process which uses large amounts of fossil fuel per hectare (ha) in mechanised systems. In calculating the total CO 2 emissions from tillage operations, tractor engine CO2 emissions should be added to those that originate from the oxidative breakdown of SOM through mechanical tillage. As opposed to tillage-based systems, other agricultural production approaches, such as Conservation Agriculture 4 (CA), exist which are win- win strategies to both sequester carbon in the soil and achieve production intensification with competitive yields while enhancing the natural resource base. The present review focuses on SOC sequestration and in particular it attempts to quantify the carbon footprint of the variables that intervene in CA and TA production cycles. The review was conducted to: i) develop a",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,941
Soil Organic Carbon _31,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"attempts to quantify the carbon footprint of the variables that intervene in CA and TA production cycles. The review was conducted to: i) develop a clear understanding of the impact and performance of CA relative to TA with respect to carbon sequestration; and ii) examine if in this respect there are any misleading arguments at present in the scientific literature with a view to highlighting the evidence that exposes their flaws. The document draws primarily on scientific papers published in leading peer-reviewed journals and the knowledge of the working group on CA in the Plant Production 3 Edaphon = Soil microorganisms and fauna. 4 Conservation Agriculture (CA) = Conservation Agriculture (CA) is an approach to managing agro-ecosystems for improved and sustained productivity, increased profits and food security while preserving and enhancing the resource base and the environment. CA is characterized by three linked principles, namely:",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,949
Soil Organic Carbon _32,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"preserving and enhancing the resource base and the environment. CA is characterized by three linked principles, namely: i. Continuous minimum mechanical soil disturbance refers to low disturbance no-tillage and direct seeding. The disturbed area must be less than 15 cm wide or less than 25 percent of the cropped area (whichever is lower). There should be no periodic tillage that disturbs a greater area than the aforementioned limits. Strip tillage is allowed if the disturbed area is less than the set limits. ii. Permanent organic soil cover. Three categories are distinguished: 30-60 percent, >60-90 percent and >90 percent ground cover, measured immediately after the direct seeding operation. Area with less than 30 percent cover is not considered as CA. iii. Diversification of crop species grown in sequences and/or associations. Rotation/association should involve at least 3 different crops. It aims at enhancing natural biological processes above and below the ground.",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,981
Soil Organic Carbon _33,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,3 INTRODUCTION Vol. 16–2012 and Protection Division (AGP) of the Food and Agriculture Organization (FAO). A meta-analysis of the relevant literature has been undertaken and the cropping systems and research protocols followed by the researchers have been examined to explain any discrepancies in their findings.,FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,311
Soil Organic Carbon _34,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"5Vol. 16–2012 CHAPTER 2 Definitions Semantics is the main cause for confusion within the international literature with regard to carbon sequestration under different management systems. This chapter provides a brief description of SOC pools (section 2.1) and a rigorous definition of what should be considered as CA (section 2.2). 2.1 THE PATHWAY OF CARBON FROM CROP RESIDUES INTO SOIL ORGANIC MATTER AND SOIL ORGANIC CARBON The term soil organic matter (SOM) is used to describe the organic constituents in the soil: tissues from dead plants and animals, materials less than 2 mm in size and soil organisms in various stages of decomposition. Undecomposed materials on the surface of the soil (such as litter, crop residues, shoot and root residues) are usually more than 2 mm in size and are not considered to be part of the SOM. SOM is generally richer in lignin, poorer in carbohydrates, oxygen and hydrogen vis-à-vis organic matter because the mineralization 5",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,965
Soil Organic Carbon _35,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"oxygen and hydrogen vis-à-vis organic matter because the mineralization 5 process frees oxygen and preferentially degrades polysaccharides, so that the concentration of recalcitrant (or stable) compounds increases. Soils contain carbon in both organic and inorganic forms, i.e. oxidized carbon and non-oxidized carbon. The sum of the two forms of carbon is referred to as total carbon. Inorganic carbon is present as various minerals and salts from weathered bedrock. Soil organic carbon (SOC) is the carbon occurring in the SOM: on average it constitutes about 58 percent of SOM mass. The carbon stabilization process goes through the initial formation of unstable macroaggregates, to their subsequent stabilization and the contemporary formation of microaggregates within the macroaggregates. The final stage of the aggregate transformation cycle is the break down of macroaggregates with the liberation of the microaggregates. In most soils,",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,23,944
